Date,MNST,AAPL,ODFL,AMZN,ISRG,TSCO,TYL,IDXX,BKNG,HUM,ORLY,CNC,ROL,WST,ALGN,ANSS,CTSH,CMI,JBHT,ILMN,SHW,UNH,AZO,POOL,CSGP,ROST,AME,EW,ON,NVDA,ALB,HOLX,DE,IT,APH,GILD,MTD,AMT,AOS,REGN,BLK,STZ,SBUX,ELV,DHR,TDY,VLO,ATVI,TMO,CHD
2002-01-13,0.002330314643388169,-0.11815400993963908,0.01904917577395637,-0.10490710372532498,-0.028012753706352183,0.019534291464494966,-0.05310982531394829,-0.021514322927711507,-0.029337768275062764,0.10276024345408075,-0.07483164846078412,-0.025612387177498825,-0.04766358035856087,-0.008258114797960238,0.15984870094189604,0.003971411097465539,-0.04561045873390703,-0.05643347080024287,-0.04916182958570521,-0.04540394409047171,-0.04807432260341293,0.024692811449869328,-0.03246150309397127,0.013220209313379342,0.024344571897737602,-0.03360402657100997,-0.04671746785292658,-0.05679315100463728,0.03174869831458027,-0.09880668285027397,-0.037125939444890996,0.12790813507016052,-0.03502797960773227,0.02922963831493831,-0.027205973753894237,0.11843437438345629,-0.03341495704796562,-0.15194007672767632,-0.02901761142643683,0.06848116101581148,-0.024632592702326518,0.09007278252389775,-0.010457540307600715,0.07330201302225343,0.006457850536425937,-0.02877455944805419,0.0458286093516195,-0.11105056545232997,-0.045530115811002185,0.00871406661837812
2002-01-20,0.0023137858502692457,0.051838371105693906,0.017950574147616034,-0.08216039111507524,-0.04771166665679852,0.06626671082313303,-0.10032272162786927,-0.04886647383408802,-0.033841135195034316,0.015504048882601219,0.01641852931193919,-0.08358690478749319,-0.04057104637557961,-0.02756804340507356,0.003780722839905931,-0.0007930214531378739,-0.050872219325296765,-0.0657644323108466,-0.06287337994932438,-0.11014357909842584,-0.039491062776472095,0.01150164847808077,-0.006807003440201233,-0.026617650950135647,-0.011884689971514208,-0.011768420057170235,-0.013807064936341184,0.006173167751996582,-0.09499772862227968,0.011507981633224085,-0.03591106765351578,0.10823467078768909,-0.011101711727181256,-0.09489874182279555,-0.08191685053290752,-0.05013621602824812,-0.040848095374545715,-0.3527755430958979,-0.023107063775726546,-0.06629141565524023,0.03247412267568841,-0.0054109203177123534,0.0013705018556478376,-0.010148748967006306,-0.05287261788613713,-0.07410797215372196,-0.025255877705159222,0.015703086905030725,-0.020229604182154276,0.03956840359636226
2002-01-27,-0.028170876966696335,0.04756657665233817,-0.03699974992157256,0.35154369131434426,0.047711666656798594,-0.06144230828330785,0.12057088245781673,-0.015748356968139168,0.04948005872097436,-0.006947321497611312,0.028180108488651216,0.10459117363628645,0.0031404474833314658,-0.009411838023107561,-0.17480272437992725,-0.029384283555703196,0.037449115425430494,0.045045360260343774,0.1560503528366602,-0.10080469912196564,0.0488454202077553,0.02207488340356091,0.00526404683590164,0.014917057038114757,-0.003850272136232593,0.08563497165421369,-0.01331304837934344,0.03811032784359045,0.1257693872890334,0.025838521947298822,0.04437545179935877,0.07326417925480205,0.018205876249792186,0.034685557987889894,0.007730225369719229,0.02878723950321623,-0.0010863444966939784,-0.015345477654305783,0.17580682357625507,0.02235129136856904,-0.0023697255676142118,-0.019172684469470926,0.04200763992312789,0.055326198752955434,0.02597952779122228,0.009983443984183205,0.07990927245142727,0.08673768700121919,0.003990643673606924,0.06899348850842561
2002-02-03,-0.01198004647583466,0.0486870914033319,0.05463462344658757,-0.05041891368480041,0.14173590147716983,0.01037403224852273,-0.020248160829947424,0.029278209200386773,0.0858612665994075,-0.0023263700070726943,0.0746847132610109,-0.10973236695115934,0.03390123531579411,0.0007873023825943315,0.10648348040245013,-0.0028635732392566214,-0.0005412474946186849,0.0070440986554249725,-0.049982451161998474,-0.10728637085104048,-0.007476163724769773,0.010323530572870606,0.035644919378361596,0.05753766964020101,0.005130408858949807,0.016448859197093383,0.0456757752034727,0.01943247358929418,-0.11892004544345855,-0.020679478508999666,-0.0264749089476692,-0.040593396965253443,-0.010098976103949652,0.04779066383634848,0.003075592600439316,0.0312821815199062,0.05292240145434253,-0.13205983112831132,-0.007607906054920471,-0.08129118430460981,0.019267792918023403,0.010369414283638342,0.0008749535956979102,-0.013641430965040788,0.005789660540921286,0.0484747565024109,0.05356032691208991,-0.029761868732845413,-0.03512336538047561,-0.005429617728099893
2002-02-10,-0.0024086909762649745,-0.01568910666388721,-0.046970642359840546,-0.0922558541079272,-0.11372314777081757,-0.013051492508430922,-0.107888962011185,0.027292142288007554,-0.41820412120708017,0.02226557720908354,-0.00994427389963389,-0.009842503699267603,-0.0065559368621916116,0.003929485389029204,-0.12691551921965596,0.007346971823232442,-0.0645021037061034,0.03762068610346808,-0.16562738148184453,-0.10804148241108415,-0.07275233927408307,-0.00722901543503637,-0.02918040566164119,0.016001272320220163,0.002129926257824849,0.01257910018866288,0.004585864137766006,0.05165647461699016,-0.08175065001869249,-0.1053090462585703,0.026474908947669056,-0.040821994520255166,-0.014171061722214698,-0.06899287148695156,-0.06315021589005722,-0.042877464574040805,-0.055970498708184435,-0.24294594407462475,0.015333790926901762,-0.09527154946149277,0.013407239862585582,0.05329135017116192,-0.039692796702869466,0.0821391299957586,-0.021722354821202536,-0.06854231955322015,-0.008072696915311569,-0.009729450556758019,-0.08509679403713168,-0.026439829834060794
2002-02-17,0.0,-0.005425059804915497,-0.016937342316468505,0.0686733316216346,-0.012228945492570874,0.029063566669007498,-0.015306421282675545,0.020179630128166298,-0.05942338040669743,-0.016845718634606436,0.05594623520564912,-0.010991999915458107,0.007616169031980921,0.08851375479067376,0.09614386055290215,-0.017227661512709463,0.00947314189843636,-0.0005204532474600525,0.027005304747893522,-0.02997499622079474,0.09428273911149648,-0.0016134090500631044,0.02947831985183504,0.041794435645658254,-0.1865859555804122,0.01953037405874173,0.0574670669222974,-0.04767009528370447,-0.00743497848751809,-0.00643058195449249,0.04006313980980948,-0.05113666505055555,0.05241598754411258,-0.007168489478612516,-0.004214741557201411,-0.017191956449081724,0.04310460234006631,0.09758028035169743,-0.017543760636398852,0.04165533498804299,-0.054501039372238026,-0.0058051046734974915,-0.019293442766405853,-0.028121111501763562,0.07996663149746766,0.06854231955322014,-0.012148149155383824,0.04324395096418283,0.02513117876622485,0.07845139287847241
2002-02-24,-0.0344054267253323,-0.049755170594963344,0.00927336122972157,-0.02568116965745659,0.039478804478876056,-0.01945846945044438,0.0025673955052457334,-0.014426977638716454,0.08552221247016742,0.012279724524853066,-0.0626311583075332,-0.010581686038264234,0.019038316914007362,0.03491785707570105,-0.08701137698962969,-0.008726421468143033,-0.006592195917990663,0.043025681173105755,0.04001397553012332,-0.032328887115360125,-0.04844377754862267,0.00563590615435652,0.04200712429520263,-0.003049115399670214,-0.1255050817502938,-0.004094553516683252,-0.009299473079534633,0.04698006425874177,0.0037243990909822727,-0.13875096066782516,-0.025422446770320895,0.03311815954787727,0.04110573414031317,0.03360174654676807,-0.048555372683908436,0.011343348512615816,-0.027956076674473987,-0.13580178394001938,0.017543760636398897,-0.05406726433659881,0.04504183792846955,0.022236322724988246,0.002316360233128286,0.004446303140111931,0.0501582541087107,-0.01333776520612456,-0.028170928232908926,0.00037438845536782534,-0.05501436575733482,0.011910965480335912
2002-03-03,0.01242652000655725,0.030746620459411022,0.015268789348322693,0.1633984202146573,-0.021740257816831202,0.10620961329387808,0.09763846956391607,-0.0019138761822840532,-0.00941191261545599,0.02931435481582807,0.0,-0.0010646088217215542,0.0,0.005186019241697868,-0.013730192811902131,-0.013022658309306686,0.03476325693271095,0.05594212581182011,-0.000826168811436002,0.0,0.017672236938007176,-0.04768638114292192,-0.09131872487406019,0.018491096673344098,0.06472019068117182,0.01167338205223086,0.09669623897880202,-0.04337009670009287,0.05073551804139847,0.11385777923024193,0.0070352306078596836,-0.04255961441879589,0.020249195419785943,0.029980832211935857,0.07243506119408415,0.10362958829367892,-0.023029498943940657,0.35849173279235697,0.0,-0.0004307560019548982,0.039541624588844505,0.015779100977174134,0.083844523467496,0.029722455080143546,-0.02137770857073807,0.07451892168120579,-0.008492761710937224,0.11014115623560337,0.010739140506409292,-0.0003197792636693792
2002-03-10,-0.037740327982847086,0.05031116216250032,-0.007604808261575718,0.06050994949247454,0.004386027128773586,0.0796018859375967,0.03877338592596066,0.052250690343877894,0.15920378707975352,-0.05012469326961538,-0.0015255533088370686,0.016896070696529222,0.019656256009490537,-0.0017263454704257513,0.03620304866396064,0.03938332800037537,0.050904105389252025,0.04636928548316325,0.13327284765379863,0.09401063446223927,0.08045291072224436,0.0030827297181174025,0.009655814077403659,0.06699215354101203,0.20166103968768417,0.016910108671688597,0.035003617631768055,0.002519202521390747,0.15364575681728818,0.04115098109356776,0.058463523235373134,0.027292142288007554,0.004584343591104004,0.09646026618756232,0.10536088460154601,-0.020687178195884656,-0.001979980847045099,0.2220541543447533,0.14729554645029447,0.1181181654916012,0.002670126405296932,0.00885129148738368,-0.02324701603330116,-0.031498298499710184,0.052680987246399316,0.002962965130656827,0.051005102902530644,0.07988799771285117,0.06355295703851446,-0.0167853472307809
2002-03-17,0.03774032798284711,0.01169315886522849,0.12673359964723854,-0.15303000322889287,0.03335441074418938,-0.029311609889480818,0.11604152507816023,0.02015907000178927,0.017982469547131317,0.006211182036771992,-0.020670116738809485,0.16826118481042815,0.01113083179707405,-0.008324356453825624,0.04348511193973889,0.026079712783051663,0.057950065221527854,0.05808865491672346,0.021114094230271274,0.19545555978304294,0.018451546981965126,0.04219242250310941,0.05912830114704855,0.0215725714101503,-0.12057088245781669,0.027046979583635954,0.07630740272840608,-0.0028794836310524676,-0.006079046076382226,-0.09948768551110948,0.03273682113929764,0.0015372793188863979,-0.004375094654835355,-0.0076923456231557255,-0.03375956933856205,-0.003605253963151599,-0.040675240626431734,-0.19342995310270378,0.018955605029824674,-0.03466758004010228,-0.017484956820920907,0.020853604973056508,0.03382883088782278,0.011488984427759861,0.006255691053385712,-0.0017766660943298038,0.04035759475245796,-0.09782130592926729,-0.04092163959444523,-0.02338370878774391
