,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
195009,-0.04092616661264584,0.020684591192832603,0.0,0.06550680220211971,0.05798584919865335,0.07436508195530674,0.11448872648469795,0.14962617395581243,0.059023340449460976,0.05173819540441437,0.0,0.07194849931258404,0.052497568957754044,0.0647572472152785,0.09485553101267875,0.06005975642766288,0.08846864798760819,0.030820142339886364,0.04094998632895417,0.0,0.059777204035860794,0.06747171511501275,0.053256366300431464,-0.0039076248310170765,0.011632084229707696,0.0,0.0,0.055813064819212686,-0.0002000200026670447,0.030141156911986808,0.03998964821615841,0.044399587296684515,0.015971769509698665,0.09358141362153058,0.07584931228343783,0.0,0.0829615207143473,0.07760897932698288,0.10822640507087125,0.0626930693384234,0.04755130185822235,0.06447601918436478,0.06634938054153391,0.07501470380544575,0.09412766272469823,0.08010424424166136,0.04363403702006128,0.03912455468405008,0.04755130185822235
195010,0.10948201061699692,-0.002703651574314823,0.0,-0.02040680977766262,-0.020917248255388307,-0.006521216990265463,-0.07806965542192262,0.01833095668472342,-0.021121496622111418,0.009950330853168092,0.0,0.02955880224154443,-0.0015011261262670914,0.008166562666393401,-0.0142003494011414,-0.0013008457330480696,-0.015215165806480377,-0.043847399780276325,0.028587456851912472,0.0,-0.014809115653708226,-0.05055672361715231,-0.02460011686823269,0.006280237957150456,0.051928092860359105,0.0,0.0,0.014100124378781626,0.004788516731797094,-0.0008003201707691552,-0.009141657917283387,-0.02040680977766262,-0.06592615011616682,0.005982071677547469,-0.0011006054440330039,0.0,-0.031181117483574737,0.022543964434894436,-0.04625338451746204,-0.0009004052431641551,0.002496880198587146,-0.012275030875612578,-0.0116678048676821,-0.01005033585350145,-0.021530118550363214,0.03343477608623742,0.05638033343610769,0.018036362486098575,0.01400151963581361
195011,-0.025420377346911223,0.023228126119207243,0.0,-0.009545412843531385,-0.0072260450917395825,-0.0192847614118671,-0.01602776107719725,-0.045415863530482575,0.0017983819413793973,0.01656208829897823,0.0,0.0260575343192896,0.03401487858727762,0.08434114843375096,0.05373032242096771,0.0022973590486834584,0.03931686237695041,0.041429809763139556,0.07417939817425147,0.0,0.029850021968885292,0.009356094924025029,0.006677654753240497,0.08581065641311078,0.030141156911986808,0.0,0.0,0.08828556486736044,0.03295110013968598,0.05864619543273343,-0.008132983230188991,-0.012983927558294786,-0.018571385585435342,-0.008637193395663588,0.02615495747685118,0.0,0.030820142339886364,0.05202302806715181,0.08764450985204626,0.04993236874820893,0.06259914175651995,0.03758476032727121,0.006578315360122507,-0.0020020026706730793,0.008860628432196467,0.043825479540029515,0.057608312620313275,0.057230633454271665,0.0009995003330834232
195012,0.2626719094476132,0.052212871446934324,0.0,0.0486949215387586,0.006578315360122507,0.02751788603673928,0.03739211921706269,0.04200529414503007,0.042676274280436396,0.09376352981216321,0.0,0.0729716124558228,0.057702710128289154,0.06691070528262681,0.044399587296684515,0.10228579354075001,0.06363186024477352,0.08645288773019906,0.08801087732271337,0.0,0.10939237677119677,0.05363554916590934,0.11028835389412306,0.13444347654949063,0.10129225148187235,0.0,0.0,0.12504548897422443,0.14505227169913884,0.08571887540253743,0.03739211921706269,0.022348403663761767,0.009058844488346146,0.05135829227514204,0.06053049974003236,0.0,0.038836023785198216,0.0032945669494301114,0.032660782239548276,0.07714620917665374,0.18357077619438655,0.05911760448308876,0.043921187057928086,0.06513209493778215,-0.021938907518753964,0.044686517622406094,0.04018178963283176,0.11573649848259676,0.03111099502505273
195101,0.012521280553671691,0.05638033343610769,0.0,0.13941405578267807,0.06784554689506724,0.10120188050896733,0.04478214277189325,0.06578774053800315,0.08489246701796262,0.034980968895245594,0.0,0.03304785404620042,0.04162167469081945,0.06606859996970471,0.08443305597482938,0.0718554371004281,0.08874320983438856,0.0608128393965124,0.1075082077152852,0.0,0.07853387765410694,0.10156331540944123,0.08755289700786145,0.028198654358678736,0.057608312620313275,0.0,0.0,0.07222763399688073,0.044399587296684515,0.06531946612064246,0.058268908123975824,0.04219704869978828,0.04401688541677426,0.0929437456427379,0.08360558385479686,0.0,0.07371503782228069,0.06756518616242388,0.09111959336748383,0.07659060216171265,0.07371503782228069,0.06466351332572212,0.07899600622649788,0.05126329393754151,0.03623549258209536,-0.0425943976324205,0.1541792508476743,0.03556017539855088,0.09212328887580586
195102,0.06100102155739891,0.018821754240587667,0.0,0.007968169649176881,-0.005816885321564851,0.01626697246387194,0.03198304585305074,-0.012275030875612578,0.009157937784765724,0.0036931718376176067,0.0,0.03893221000178754,0.01626697246387194,0.02586265952572737,0.030626193541760747,0.018429135468367143,0.01143437762566317,0.03758476032727121,-0.011263192278710714,0.0,0.004489905272852001,0.022641730480824573,0.020586633608388312,0.01852730461388356,-0.014301784710859645,0.0,0.0,0.005286004429237438,0.008662373078652587,-0.0017014466397575704,0.02615495747685118,0.0437297628613252,0.01242251999855711,0.0031948908965192886,0.03864362359220453,0.0,0.03527061408191933,0.04793265375530272,0.03469123978993026,0.022348403663761767,-0.011870172570487445,0.022446188829829995,0.009851316050374202,0.07436508195530674,0.058080211076524724,0.012620031356102198,-0.03428093397687417,0.005286004429237438,0.0010993954433010642
195103,-0.09970984414901193,-0.02716566807276955,0.0,-0.04908520769049141,-0.023166278031839585,-0.03025304317102094,-0.06849299644530044,-0.044265416298015434,-0.02603601455084144,-0.0393647235222767,0.0,0.004191204618468052,-0.0018016219466282088,-0.03159387159117863,-0.009343515003152465,-0.0732160623312591,0.0014988761237359487,-0.08121005542554317,-0.05392834202555563,0.0,-0.035419945231260325,-0.04061368288529713,-0.04134296353438243,-0.0888312137066157,-0.06827884075329449,0.0,0.0,-0.06134363024105197,-0.06774365208651953,-0.024805118918971115,-0.008536331022286335,-0.019488676583862413,-0.03459144476961909,-0.0039076248310170765,-0.029428810690812168,0.0,-0.0015011261262670914,-0.055935632330303305,-0.03159387159117863,-0.03169708674325456,-0.04614865602598025,-0.041238748016597535,-0.03562717764315116,-0.06581934103729359,0.009455158770755197,0.01616858116158369,-0.023985362750511312,-0.016841017196026556,-0.010656580188528888
195104,0.05126329393754151,0.023130417388854466,0.0,0.04659728537678226,-0.0031048149534787565,0.031789322489407336,0.0030952049073025216,0.021957167352042138,0.012027380212718455,0.012817503710614343,0.0,0.053256366300431464,0.09430967947074131,0.06681717303731709,0.06971261241130035,0.01764343517259528,0.03787365242808149,-0.0077297980619412685,0.0695260626486103,0.0,0.0649446886403821,0.03285433687094728,0.054204054013512186,0.06616220225366877,0.06831264018208728,0.0,0.0,0.0260575343192896,-0.02204113087688028,0.10885440491208208,0.008959741371471801,0.0277124385665358,-0.00904074465214907,0.03594612677346909,0.06775210205081852,0.0,0.089200645458302,0.037969931251628626,0.06644295654871396,0.08782771036552027,0.030820142339886364,0.027420595575992218,-0.0017014466397575704,-0.029325829381828733,0.002796087302001188,0.0031948908965192886,-0.016739324004297996,0.06887286428637532,0.024887715507778883
195105,-0.03417745180158651,-0.008233804927103542,0.0,-0.009747351454880074,-0.023985362750511312,-0.01724789340955339,-0.047196434830974694,-0.05964385292751493,-0.02061095390412435,-0.003706861931326512,0.0,-0.02460011686823269,0.003992021269537457,-0.00350613932928759,-0.02747397700075509,-0.019488676583862413,-0.037909573073220175,-0.04363845702982949,-0.027268427154193777,0.0,-0.02963480512969074,-0.025317807984289897,-0.040821994520255166,-0.043847399780276325,-0.04961050055333444,0.0,0.0,-0.018469516283661322,-0.017451393613755858,-0.0425943976324205,0.007372754329413157,-0.06166266039210687,0.010247316451549499,-0.04961050055333444,-0.02204113087688028,0.0,-0.04019718975141304,-0.05171443568667877,-0.036041771347265536,-0.03169708674325456,-0.05192507286491937,-0.009343515003152465,-0.01826580880689254,-0.06325933963919093,-0.005113049386823014,-0.0018016219466282088,0.010247316451549499,-0.04113454335855504,-0.012781334364733152
195106,-0.0013008457330480696,-0.044997365930735805,0.0,-0.023678127354577146,-0.039468743910366526,-0.05003093360556493,0.008166562666393401,-0.059537712716196275,-0.05996234117268288,-0.05150384286711561,0.0,-0.03056230558263998,-0.01005033585350145,-0.015722960465236198,-0.015012120120503621,-0.062407460128617046,-0.05213575442052851,-0.07203320289983162,-0.08926846775818227,0.0,-0.06272682990830501,-0.04625338451746204,-0.08795727875914203,-0.08839415076259535,-0.10092591858996053,0.0,0.0,-0.07074440452575782,-0.009343515003152465,-0.013389237119016052,-0.007427515828796584,-0.05530131578508931,-0.05964385292751493,0.0021975835434872013,-0.02716566807276955,0.0,-0.030768533671636483,-0.017756721589258985,0.017741681476157126,-0.017756721589258985,-0.08446915662644996,-0.05045154349609822,-0.029016949070492563,-0.05087233037375655,0.0007996801705642441,0.011928570865273812,-0.004208844774054682,-0.011162064706191917,-0.004610612557683294
